DATAFLOW,LAST UPDATE,freq,purchase,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I10_A_AVG,EU,2006,94.89,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I10_A_AVG,EU,2007,102.87,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I10_A_AVG,EU,2008,103.44,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I10_A_AVG,EU,2009,98.80,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I10_A_AVG,EU,2010,100.00,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I10_A_AVG,EU,2011,100.31,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I10_A_AVG,EU,2012,98.45,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I10_A_AVG,EU,2013,97.26,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I10_A_AVG,EU,2014,98.85,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I10_A_AVG,EU,2015,101.56,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I10_A_AVG,EU,2016,106.31,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I10_A_AVG,EU,2017,111.31,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I10_A_AVG,EU,2018,116.58,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I10_A_AVG,EU,2019,121.60,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I10_A_AVG,EU,2020,128.15,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I10_A_AVG,EU,2021,138.92,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I10_A_AVG,LU,2007,92.86,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I10_A_AVG,LU,2008,95.96,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I10_A_AVG,LU,2009,94.86,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I10_A_AVG,LU,2010,100.00,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I10_A_AVG,LU,2011,103.68,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I10_A_AVG,LU,2012,108.03,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I10_A_AVG,LU,2013,113.42,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I10_A_AVG,LU,2014,118.39,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I10_A_AVG,LU,2015,124.78,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I10_A_AVG,LU,2016,132.28,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I10_A_AVG,LU,2017,139.70,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I10_A_AVG,LU,2018,149.56,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I10_A_AVG,LU,2019,164.69,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I10_A_AVG,LU,2020,188.56,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I10_A_AVG,LU,2021,214.81,
